gw,team,opp,off,on,min,date
1,Arsenal,Athletic Club,R. Calafiori,P. Hincapié,90,2025-09-16
1,Arsenal,Athletic Club,N. Madueke,C. Nørgaard,90,2025-09-16
1,Athletic Club,Arsenal,M. Vesga,A. R. Mora,81,2025-09-16
1,Athletic Club,Arsenal,U. Gómez,N. Serrano,81,2025-09-16
1,Arsenal,Athletic Club,E. Eze,G. Martinelli,71,2025-09-16
1,Athletic Club,Arsenal,A. Boiro,Y. Berchiche,68,2025-09-16
1,Athletic Club,Arsenal,O. Sancet,G. Guruzeta,68,2025-09-16
1,Arsenal,Athletic Club,V. Gyökeres,L. Trossard,65,2025-09-16
1,Athletic Club,Arsenal,R. Navarro,U. Gómez,61,2025-09-16
1,Royale Union Saint-Gilloise,PSV Eindhoven,K. Rodríguez,R. Schoofs,88,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,M. Boadu,D. Man,80,2025-09-16
1,Royale Union Saint-Gilloise,PSV Eindhoven,A. A. E. Hadj,K. V. D. Perre,75,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,I. Saibari,P. Wanner,74,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,R. Pepi,M. Boadu,74,2025-09-16
1,Royale Union Saint-Gilloise,PSV Eindhoven,P. David,M. Giger,67,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,A. Obispo,A. Salah-Eddine,46,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,J. Schouten,G. Til,46,2025-09-16
1,Qarabağ FK,Benfica,C. Durán,M. Qurbanlı,90,2025-09-16
1,Benfica,Qarabağ FK,R. Ríos,L. Barreiro,79,2025-09-16
1,Benfica,Qarabağ FK,V. Pavlidis,H. Araújo,79,2025-09-16
1,Qarabağ FK,Benfica,E. Cafarquliyev,T. Bayramov,77,2025-09-16
1,Qarabağ FK,Benfica,M. Janković,O. Kashchuk,77,2025-09-16
1,Benfica,Qarabağ FK,A. Schjelderup,G. Prestianni,70,2025-09-16
1,Benfica,Qarabağ FK,F. Aursnes,F. Ivanović,70,2025-09-16
1,Qarabağ FK,Benfica,L. Andrade,E. Addai,66,2025-09-16
1,Borussia Dortmund,Juventus,S. Guirassy,P. Gross,90,2025-09-16
1,Juventus,Borussia Dortmund,K. Yıldız,E. Zhegrova,87,2025-09-16
1,Borussia Dortmund,Juventus,F. Nmecha,J. Bellingham,71,2025-09-16
1,Borussia Dortmund,Juventus,M. Beier,J. Brandt,71,2025-09-16
1,Juventus,Borussia Dortmund,L. Openda,V. Adžić,69,2025-09-16
1,Juventus,Borussia Dortmund,T. Koopmeiners,M. Locatelli,69,2025-09-16
1,Juventus,Borussia Dortmund,J. David,D. Vlahović,60,2025-09-16
1,Juventus,Borussia Dortmund,W. McKennie,J. Mário,59,2025-09-16
1,Olympique de Marseille,Real Madrid,B. Pavard,C. Egan-Riley,88,2025-09-16
1,Olympique de Marseille,Real Madrid,Emerson,A. Murillo,78,2025-09-16
1,Olympique de Marseille,Real Madrid,T. Weah,A. Gouiri,78,2025-09-16
1,Real Madrid,Olympique de Marseille,A. Güler,R. Asencio,73,2025-09-16
1,Olympique de Marseille,Real Madrid,G. Kondogbia,A. Vermeeren,67,2025-09-16
1,Olympique de Marseille,Real Madrid,M. O'Riley,I. Paixão,66,2025-09-16
1,Real Madrid,Olympique de Marseille,F. Mastantuono,B. Díaz,63,2025-09-16
1,Real Madrid,Olympique de Marseille,Rodrygo,Vinícius Jr.,63,2025-09-16
1,Real Madrid,Olympique de Marseille,T. Alexander-Arnold,D. Carvajal,5,2025-09-16
1,Tottenham Hotspur,Villarreal,L. Bergvall,K. Danso,90,2025-09-16
1,Villarreal,Tottenham Hotspur,T. Buchanan,A. Moleiro,82,2025-09-16
1,Villarreal,Tottenham Hotspur,P. Gueye,D. Parejo,78,2025-09-16
1,Villarreal,Tottenham Hotspur,S. Comesaña,T. Partey,78,2025-09-16
